"vial","Pop","toluene.int.std","beta.myrcene","cis.ocimene","trans.ocimene","ocimene.epoxide","ocimene.epoxide.1","linalool","beta.caryophyllene","methyl.benzoate","beta.farnesene","alpha.humulene","alpha.terpineol","Z.E.alpha.farnesene","E.E.alpha.farnesene","TMTT","geraniol","X2phenyl.ethanol","phenylacetonitrile","caryophyllene.oxide","nitrophenylethane","methyl.farnesoate","isophytol.","jasmine.lactone","phenylacetaldoxime","farnesol","Name","site","dry.flower.weight","linalool_phenotype","log_linalool","error"
1729,"Walsenburg",8712835,184.036103404635,646.605832064079,80409.1261940065,0,0,42862.6476475844,564.856433325736,0,67.4334434389511,35.5159341000043,0,200.571457514987,51531.9303781767,0,0,11.7244971381366,755.276779014777,159.74303418441,97.9237997476638,414.481520394265,708.03819881818,0,975.63957271558,1295.61061396886,4045,"Walsenburg",0.0798,"high",16.9577628431363,FALSE
1730,"Walsenburg",8376951,366.872910173711,1226.09328884243,159951.196622118,0,0,66132.8356230273,391.609514170515,0,0,0,0,0,0,0,0,0,47.3437763746452,0,0,211.651424038104,0,0,0,241.380753243995,4046,"Walsenburg",0.0873,"high",17.4419411993117,FALSE
1731,"Walsenburg",8595025,390.656804372297,1588.39081329025,208516.302308603,0,0,205.647453032423,0,0,120.671260409365,0,0,240.902004357172,98918.300412157,0,0,0,0,330.485658854977,0,0,0,0,0,0,4047,"Walsenburg",0.0792,"low",11.5970092273419,FALSE
1732,"Walsenburg",7266217,385.099671893737,1723.31467846934,195145.223452529,574.382394520452,0,189166.585122929,9739.99831956095,0,0,925.247647404779,291.387233489616,0,0,0,0,0,119.437345996279,187.203475493088,224.475905592187,3229.21134022787,0,0,479.056614358942,2950.07626299603,4048,"Walsenburg",0.092,"high",18.4030937555146,FALSE
1733,"Walsenburg",7305756,702.051553177902,2408.45631631736,289531.193427679,433.567207074777,0,102230.179581298,850.696396939954,76.8578213939691,86.8735891121958,85.6969937855319,83.3111199286856,178.224777106418,68572.8499136677,0,0,0,307.096282739812,361.175545441603,70.5319873529746,217.56064670104,0,0,288.71524908104,420.503730628456,4049,"Walsenburg",0.1078,"high",17.9516084728579,FALSE
1734,"Walsenburg",8607788,945.30344546306,2944.43931375582,335067.25278257,195.125252732151,0,195398.809135757,1201.16209731233,0,0,191.153590652792,83.5884075392411,0,0,0,0,0,141.76232655379,631.377785551158,0,206.02378708411,0,0,0,1394.18583178071,4050,"Walsenburg",0.0937,"high",18.6232495595714,FALSE
1735,"Walsenburg",8129526,455.505168926706,1882.91528118333,209313.335611449,469.47401548256,0,194235.480738337,4650.41952700517,0,81.1732131535643,213.914662444844,163.797283935252,209.687670239151,66831.3398794169,0,0,0,147.306136088517,115.613046298491,0,289.239022287245,1018.09458571918,0,0,607.747694458976,4051,"Walsenburg",0.1185,"high",18.7949281714408,FALSE
1736,"Walsenburg",8210668,258.315510247239,1097.1453839294,129119.603201599,337.335971396585,0,81778.9716180974,2232.7501363425,0,0,158.773417697036,0,0,0,0,0,0,105.837184884137,0,0,414.634396345696,0,0,0,999.444610086963,4052,"Walsenburg",0.0933,"high",17.7007158824429,FALSE
1737,"Walsenburg",9218803,72.3697406484283,368.479378050656,47460.6185045183,56.8656807020828,0,0,262.247269654245,0,19.363324652091,0,46.7083104001555,58.9268788971969,19905.2833387547,0,0,0,31.1348129259604,0,0,0,0,0,0,262.481164484897,4053,"Walsenburg",0.1146,"none",NA,NA
1738,"Walsenburg",8226724,695.548823679338,2415.11852730223,275405.140638033,648.344710562091,0,155325.76594791,0,0,98.6713754949353,90.1426401925392,0,184.511877922794,65595.9872106709,0,0,0,88.7999735777906,324.657274802524,100.731674265843,59.011537948036,0,0,289.148494566377,131.326684577052,4054,"Walsenburg",0.1284,"high",18.6635042483719,FALSE
1739,"Walsenburg",9804141,689.567360311975,2112.09000007932,252774.80008009,57.9552294287887,0,0,475.470396942439,0,59.2667595525388,21.7187499700749,0,161.606246040512,49296.9171836118,0,0,0,115.363889598085,229.372570751467,88.0342461282945,0,0,0,81.8012316787894,0,4055,"Walsenburg",0.1112,"none",NA,NA
1740,"Walsenburg",8980172,455.4111924259,1820.81631226174,232162.737933333,368.169815786128,0,83276.562397332,0,0,76.2421247107947,0,0,131.795004199431,58438.2728598646,0,0,0,0,222.205970248461,0,0,1478.752152071,0,0,0,4056,"Walsenburg",0.0775,"high",17.622905468338,FALSE
1741,"Walsenburg",8782615,315.113757588973,1225.62363590147,139317.068621075,259.883117405541,0,34395.4787452959,1348.64575236432,0,0,152.297715078486,0,0,93.463344532181,0,0,0,135.22333321579,0,101.014274031682,747.213625541525,0,0,303.13003516926,983.578283934147,4057,"Walsenburg",0.1361,"high",17.2795305832378,FALSE
1742,"Walsenburg",9081907,468.371030760075,1563.60780993306,200558.779237822,460.737997301353,0,76320.5989037954,1798.31477023493,0,0,150.613231025473,0,0,0,0,0,0,444.679027370416,640.990771148457,124.039477611916,237.654657771765,0,0,0,175.130344320857,4058,"Walsenburg",0.0924,"high",17.7227953959851,FALSE
1743,"Walsenburg",8111386,1057.55259239607,3025.42394534255,369215.771454797,0,0,20732.9949678937,46.6788141208627,0,0,0,0,0,14587.458016988,0,0,0,95.3313804403932,0,0,0,0,0,0,0,4059,"Walsenburg",0.0746,"high",16.0925770022941,FALSE
1744,"Walsenburg",10056128,304.34525827612,1054.34616269348,136419.742708002,0,0,90661.7008346691,437.502890107518,0,0,54.1343540645949,0,0,0,0,0,0,0,0,0,682.336674384898,0,0,0,201.384819185609,4060,"Walsenburg",0.0948,"high",18.0225279654773,FALSE
1745,"Walsenburg",9404045,360.24404923626,1475.32152387616,185987.781720526,544.209964967203,0,144078.793354349,3770.32928383477,0,0,240.370633062687,0,0,0,0,0,0,0,0,0,2788.77453797807,0,0,0,1829.64378626431,4061,"Walsenburg",0.0792,"high",18.2389178910543,FALSE
1746,"Walsenburg",9735925,186.871344503665,747.309861482899,91012.459389756,321.114610389654,0,44773.8988253353,1074.06471933911,0,0,72.8899600408309,0,0,0,0,0,66.1823823135774,446.273709834561,0,46.4739313959707,104.06232857338,1289.42824749845,0,598.038585526231,2017.73488665081,4062,"Walsenburg",0.0836,"high",17.1589328768741,FALSE
1747,"Walsenburg",10124616,356.979201318187,1080.23253613249,134416.388400969,3932.73961016915,0,180588.875215472,7710.05746221458,0,0,730.06378946219,0,0,0,0,0,0,0,972.700528428271,0,4676.08533310818,0,0,0,2325.59606634534,4063,"Walsenburg",0.0945,"high",18.7152339112725,FALSE
1748,"Walsenburg",9305331,572.752098932013,1592.0835135601,205713.033098108,263.929902314382,0,174537.517770831,1240.36054250321,0,0,138.516262788978,0,0,0,0,0,0,0,0,0,1246.36890441253,0,0,289.680225987165,1405.4003569744,4064,"Walsenburg",0.0982,"high",18.6351747475481,FALSE
1749,"Walsenburg",10162645,340.219455384874,1087.38742867574,146092.861250642,291.954383402843,0,0,181.55434334493,0,0,0,0,60.2712057662674,29352.1297758271,0,0,0,475.582759676933,0,48.5549905635267,397.086507257429,0,0,668.061617482828,277.769081379674,4065,"Walsenburg",0.0795,"none",NA,NA
1750,"Walsenburg",9203067,233.908950466261,752.660860750493,95159.938701368,451.669882505273,0,150793.861381872,860.547890494943,0,0,167.33898780572,0,0,0,0,0,55.051492029032,389.669576983347,0,205.490833660587,398.7355252056,0,0,879.371524029238,3509.6074801722,4066,"Walsenburg",0.0934,"high",18.4277832413964,FALSE
1751,"Walsenburg",9306316,142.752618825294,582.01716140272,84408.8438974123,178.456542422881,0,0,897.57948268963,0,67.3915105904979,42.1612845697672,0,157.597453060241,49861.9895033605,0,0,0,103.188470646536,83.0074436082039,0,311.147031733282,0,0,0,588.092915206337,4067,"Walsenburg",0.0877,"none",NA,NA
1754,"Rouse",10169192,171.786593399489,723.740664475151,78793.9353158917,612.969455809823,0,0,907.612826263972,0,0,90.7760789362047,0,0,0,0,0,0,189.052306756363,466.944243359567,170.011036222594,284.241421006015,0,486.585985495231,0,1104.57325782519,4068,"Rouse",0.0881,"none",NA,NA
1755,"Rouse",9115433,89.30242442153,368.883598083584,41769.4450696268,318.352945396018,0,19465.4968659801,935.107829622754,0,0,55.5432914917597,0,0,0,0,0,0,41.0698887735231,0,0,842.347910574355,0,0,0,1338.00550230452,4069,"Rouse",0.1163,"high",16.5902268278686,FALSE
1756,"Rouse",9119520,347.950970554378,1322.43617875881,157451.040009744,0,0,62470.0274980466,4839.4845183596,0,0,379.498068826893,0,0,0,0,0,0,867.131364269774,436.085886779434,93.4067943515286,668.378192082308,0,0,0,588.472343736413,4070,"Rouse",0.1006,"high",17.6116976608414,FALSE
