Offspring.ID,Mother.ID,Candidate.father.ID,matchem,patchem,cross,mat_Lon,mat_Lat,mat_corolla.mean,mat_floral.flare,mat_filiment.length,mat_style.length,mat_tube.length,mat_nectar.length,mat_sucrose.equiv.,pat_Lon,pat_Lat,pat_corolla.mean,pat_floral.flare,pat_filiment.length,pat_style.length,pat_tube.length,pat_nectar.length,pat_sucrose.equiv.,dist,corolla_dif,filiment_dif,flare_dif,style_dif,tube_dif,nectar_dif,sucrose_dif,distCategory
100_19,4100,4080,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706367,37.533932,101.435,7.12,16.31,78.94,53.42,37.23,29,58.68797616,1.445,-0.03,0.08,24.48,25.94,33.49,1,1
100_20,4100,4035,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.759597,37.618565,89.24,7.82,17.17,79.44,57.29,33.66,34,10459.96837,13.64,-0.89,-0.62,23.98,22.07,37.06,-4,2
100_23,4100,4077,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706106,37.533826,90.075,6.18,13.67,73.29,53.92,23.37,35,69.26758371,12.805,2.61,1.02,30.13,25.44,47.35,-5,1
100_24,4100,4090,1,1,1X1,-104.706206,37.534445,102.88,7.2,16.28,103.42,79.36,70.72,30,-104.706605,37.534618,82.135,6.5,16.66,86.81,63.66,33.15,35,40.15381399,20.745,-0.38,0.7,16.61,15.7,37.57,-5,1
101_02,4101,4142,1,1,1X1,-104.706058,37.534222,87.03,7,15.84,88.11,71.04,43.7,40,-104.555834,37.319233,70.81,6.16,12.35,80.57,65.64,44.03,36,27315.40899,16.22,3.49,0.84,7.54,5.4,-0.33,4,3
101_05,4101,4180,1,1,1X1,-104.706058,37.534222,87.03,7,15.84,88.11,71.04,43.7,40,-104.834184,37.764188,82.05,6.15,13.15,81.9,60.23,12.75,28,27916.2529,4.98,2.69,0.85,6.21,10.81,30.95,12,3
101_06,4101,4102,1,0,1X0,-104.706058,37.534222,87.03,7,15.84,88.11,71.04,43.7,40,-104.705988,37.533872,80.115,6.59,13.66,60.68,55.57,60.81,31,39.33530244,6.915,2.18,0.41,27.43,15.47,-17.11,9,1
102_02,4102,4073,0,0,0X0,-104.705988,37.533872,80.115,6.59,13.66,60.68,55.57,60.81,31,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,15.57244006,-12.27,-1.85,-0.07,-6.77,-34.41,-0.2,1,1
102_03,4102,4073,0,0,0X0,-104.705988,37.533872,80.115,6.59,13.66,60.68,55.57,60.81,31,-104.706012,37.533733,92.385,6.66,15.51,67.45,89.98,61.01,30,15.57244006,-12.27,-1.85,-0.07,-6.77,-34.41,-0.2,1,1
102_04,4102,4104,0,0,0X0,-104.705988,37.533872,80.115,6.59,13.66,60.68,55.57,60.81,31,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28468.41337,-16.165,-4.02,-0.27,-37.36,-24.58,30.22,-1,3
102_07,4102,4104,0,0,0X0,-104.705988,37.533872,80.115,6.59,13.66,60.68,55.57,60.81,31,-104.546588,37.311087,96.28,6.86,17.68,98.04,80.15,30.59,32,28468.41337,-16.165,-4.02,-0.27,-37.36,-24.58,30.22,-1,3
